IconLabel,SemanticType,Category
features_facial,person,entity
"feed_cat_,_to",,other
"feed_dog_,_to",,other
"feed_someone_,_to",action,action
"feed_someone_2_,_to",action,action
feet,body,entity
felt_tips,object,entity
female_body,body,entity
female_side,,other
fennel,entity,entity
ferret,animal,entity
ferry,,other
fibre_optic_lamp,entity,entity
field,location,function
fifteen,quantity,attribute
fifty,quantity,attribute
fifty_percent,quantity,attribute
fig,food,entity
"fight_,_to",,other
file,object,entity
"file_metal_,_to",action,action
"file_nails_,_to",,other
"file_wood_,_to",,other
filing_cabinet,object,entity
"fill_2_,_to",action,action
filter_paper,object,entity
fin,body,entity
"find_,_to",,other
finger,body,entity
finger_painting,action,action
finger_puppet,object,entity
fingernail,body part,entity
fingernails,body part,entity
fingers,body,entity
finish,action,action
fir_tree,object,entity
fire,emission,action
fire_engine,entity,entity
fire_helmet,object,entity
fire_hose,object,entity
fireplace,object,entity
fireworks,object,entity
fireworks_2,object,entity
first,adjective,attribute
first_2,time,function
first_aid_box,object,entity
first_base,place,entity
fish,entity,entity
"fish_,_to",,other
fish_and_chips,object,entity
fish_battered,food,entity
fish_burger,food,entity
fish_deep_fried,food,entity
fish_food,food,entity
fish_koi_carp,entity,entity
fish_tank,entity,entity
fish_tropical,entity,entity
fist,body,entity
five,quantity,attribute
five_dots,quantity,attribute
flag_Aboriginal_Peoples,entity,entity
flag_Abu_Dhabi_-_UAE,object,entity
flag_Afghanistan,object,entity
flag_African_Union,entity,entity
flag_Ajman_Dubia_-_UAE,object,entity
flag_Aland_Islands_-_Finland,entity,entity
flag_Alaska,entity,entity
flag_Albania,symbol,entity
flag_Alderney,entity,entity
flag_Algeria,,other
flag_American_Samoa,entity,entity
flag_Andorra,entity,entity
flag_Angola,object,entity
flag_Anguilla,object,entity
flag_Antartica,object,entity
flag_Antigua_Barbuda,entity,entity
flag_Argentina,entity,entity
flag_Armenia,entity,entity
flag_Aruba,entity,entity
flag_Asean,entity,entity
flag_Austria,object,entity
flag_Azerbaijan,entity,entity
flag_Bahrain,entity,entity
flag_Bangladesh,entity,entity
flag_Barbados,object,entity
flag_Belarus,object,entity
flag_Belgium,entity,entity
flag_Belize,entity,entity
flag_Benin,entity,entity
flag_Bermuda,entity,entity
flag_Bhutan,object,entity
flag_Bolivia,entity,entity
flag_Bonaire_Dutch_Antillies,place,entity
flag_Bosnia_Herzegovina,,other
flag_Botswana,entity,entity
flag_Brazil,entity,entity
flag_Brunei,entity,entity
flag_Bulgaria,object,entity
flag_Burkina_Faso,entity,entity
flag_Burundi,entity,entity
flag_Cambodia,entity,entity
flag_Cameroon,object,entity
flag_Canada,entity,entity
flag_Canary_Islands,entity,entity
flag_Cape_Verde,,other
flag_Caricom,entity,entity
flag_Cayman_Islands,entity,entity
flag_Central_African_Republic,,other
flag_Chad,,other
flag_Chile,entity,entity
flag_China,entity,entity
flag_Colombia,entity,entity
flag_Comoros,entity,entity
flag_Congo_Brazzaville,object,entity
flag_Congo_Kinshasa,entity,entity
flag_Cook_Islands,entity,entity
flag_Costa_Rica,entity,entity
flag_Croatia,object,entity
flag_Cuba,entity,entity
flag_Cyprus,entity,entity
flag_Denmark,entity,entity
flag_Djibouti,object,entity
flag_Dominica,entity,entity
flag_Dominican_Republic,object,entity
flag_Ecuador,entity,entity
flag_Egypt,object,entity
flag_El_Salvador,,other
flag_England,entity,entity
flag_Equatorial_Guinea,entity,entity
flag_Eritrea,object,entity
flag_Estonia,place,entity
flag_Ethiopia,object,entity
flag_European_Union,entity,entity
flag_Falkland_Islands,entity,entity
flag_Fiji,entity,entity
flag_Finland,entity,entity
flag_France,entity,entity
flag_Fujairah_-_UAE,object,entity
flag_Gabon,object,entity
flag_Georgia,entity,entity
flag_Germany,object,entity
flag_Ghana,entity,entity
flag_Gibraltar,entity,entity
flag_Greece,entity,entity
flag_Greenland,,other
flag_Grenada,object,entity
flag_Guam,object,entity
flag_Guernsey,entity,entity
flag_Guinea,entity,entity
flag_Guinea_Bissau,entity,entity
flag_Guyana,entity,entity
flag_Haiti,entity,entity
flag_Hawaii,object,entity
flag_Honduras,entity,entity
flag_Hong_Kong_-_China,entity,entity
flag_Hungary,object,entity
flag_Iceland,place,entity
flag_India,entity,entity
flag_Indonesia,entity,entity
flag_Iran,entity,entity
flag_Iraq,symbol,entity
flag_Ireland,entity,entity
flag_Isle_of_Man,object,entity
flag_Israel,entity,entity
flag_Italy,,other
flag_Ivory_Coast,symbol,entity
flag_Jamaica,entity,entity
flag_Japan,entity,entity
flag_Jersey,entity,entity
flag_Jordan,entity,entity
flag_Kazakhstan,object,entity
flag_Kenya,entity,entity
flag_Kiribati,entity,entity
flag_Kosovo,object,entity
flag_Kuwait,object,entity
flag_Kyrgyzstan,object,entity
flag_Laos,entity,entity
flag_Latvia,object,entity
flag_Lebanon,entity,entity
flag_Lesotho,entity,entity
flag_Liberia,,other
flag_Libya,object,entity
flag_Liechtenstein,entity,entity
flag_Lithuania,entity,entity
flag_Luxembourg,entity,entity
flag_Macedonia,entity,entity
flag_Madagascar,entity,entity
flag_Malawi,entity,entity
flag_Malaysia,entity,entity
flag_Maldives,entity,entity
flag_Mali,object,entity
flag_Malta,entity,entity
flag_Marshall_Islands,object,entity
flag_Mauritania,object,entity
flag_Mauritius,entity,entity
flag_Mexico,object,entity
flag_Micronesia,,other
flag_Midway_Islands,entity,entity
flag_Moldova,entity,entity
flag_Monaco,entity,entity
flag_Mongolia,entity,entity
flag_Montenegro,object,entity
flag_Morocco,entity,entity
flag_Mozambique,entity,entity
flag_Myanmar,entity,entity
flag_NATO,object,entity
flag_Namibia,object,entity
flag_Nauru,entity,entity
flag_Nepal,entity,entity
flag_New_Caledonia,entity,entity
flag_New_Zealand,entity,entity
flag_Nicaragua,entity,entity
flag_Niger,object,entity
flag_Nigeria,entity,entity
flag_Niue,object,entity
flag_North_Korea,entity,entity
flag_Northern_Cyprus,entity,entity
flag_Northern_Marianas,,other
flag_Norway,entity,entity
flag_Olympic_Movement,,other
flag_Oman,entity,entity
flag_Pakistan,object,entity
flag_Palau,entity,entity
flag_Palestine,,other
flag_Panama,entity,entity
flag_Papua_New_Guinea,entity,entity
flag_Paraguay,entity,entity
flag_Peru,entity,entity
flag_Philippines,entity,entity
flag_Pitcairn_Islands,object,entity
flag_Poland,entity,entity
flag_Portugal,object,entity
flag_Puerto_Rico,entity,entity
flag_Qatar,entity,entity
flag_Rass_al_Khaimah_Sharjah,entity,entity
flag_Red_Cross,entity,entity
flag_Romania,entity,entity
flag_Russian_Federation,entity,entity
flag_Rwanda,symbol,entity
flag_S_Georgia_Sandwich_Isles,object,entity
flag_Sami,object,entity
flag_Samoa,entity,entity
flag_San_Marino,entity,entity
flag_Sao_Tome_Principe,object,entity
flag_Sark,object,entity
flag_Saudi_Arabia,entity,entity
flag_Scotland,entity,entity
flag_Seborga,object,entity
flag_Senegal,object,entity
flag_Serbia,entity,entity
flag_Seychelles,entity,entity
flag_Sierra_Leone,object,entity
flag_Singapore,entity,entity
flag_Slovakia,entity,entity
flag_Slovenia,entity,entity
flag_Solomon_Islands,place,entity
flag_Somalia,entity,entity
flag_Somaliland,noun,entity
flag_South_Africa,object,entity
flag_South_Korea,entity,entity
flag_Spain,object,entity
flag_Sri_Lanka,object,entity
flag_St._Kitts_and_Nevis,entity,entity
flag_St_Helena,place,entity
flag_St_Vincent_Grenadines,entity,entity
flag_Suriname,entity,entity
flag_Swaziland,entity,entity
flag_Sweden,entity,entity
flag_Switzerland,object,entity
flag_Syria,entity,entity
flag_Taiwan,entity,entity
flag_Tajikistan,entity,entity
flag_Tanzania,entity,entity
flag_Thailand,place,entity
flag_The_Azores,entity,entity
flag_The_Bahamas,,other
flag_The_Czech_Republic,object,entity
flag_The_Faroe_Islands,entity,entity
flag_The_Gambia,entity,entity
flag_The_Netherlands,object,entity
flag_The_Sudan,object,entity
flag_Tibet,object,entity
flag_Timor_Leste,,other
flag_Togo,place,entity
flag_Tokelau,entity,entity
flag_Tonga,entity,entity
flag_Trinidad_and_Tobago,object,entity
flag_Tristan_de_Cunha,entity,entity
flag_Tunisia,object,entity
flag_Turkey,,other
flag_Turkmenistan,entity,entity
flag_Turks_Caicos_Isles,object,entity
flag_Tuvalu,entity,entity
flag_Uganda,entity,entity
flag_Ukraine,entity,entity
flag_Umm_al_Qaiwan_-_UAE,entity,entity
flag_United_Arab_Emirates,object,entity
flag_United_Kingdom,entity,entity
flag_United_Nations,object,entity
flag_United_States_of_America,,other
flag_Uruguay,object,entity
flag_Uzbekistan,entity,entity
flag_Vanuatu,entity,entity
flag_Vatican_City,entity,entity
flag_Venezuela,object,entity
flag_Viet_Nam,entity,entity
flag_Virgin_Islands,object,entity
flag_Wakes_Island,entity,entity
flag_Wales,entity,entity
flag_Western_Sahara,object,entity
flag_Yemen,,other
flag_Zambia,entity,entity
flag_Zimbabwe,entity,entity
flag_blank,entity,entity
flame,object,entity
flamingo,entity,entity
flannel,object,entity
flat,,other
flat_tyre,object,entity
flatscreen_tv,object,entity
"flip_,_to",,other
"flip_coin_,_to",,other
flipper,entity,entity
float,,other
floor,place,entity
florist_1a,person,entity
florist_1b,person,entity
florist_2a,entity,entity
florist_2b,,other
flour_plain,food,entity
flour_self_raising,food,entity
flower,entity,entity
"flush_toilet_,_to",,other
flute,entity,entity
fly,object,entity
"fold_clothes_,_to",action,action
food,food,entity
food_blender,entity,entity
food_bowl_dog,object,entity
food_bowl_horse,entity,entity
food_cold,food,entity
food_hot,food,entity
foot,body,entity
football,,other
football_kit_Arsenal,action,action
football_kit_Aston_Villa,object,entity
football_kit_Barnsley,object,entity
football_kit_Birmingham,object,entity
football_kit_Blackburn_Rovers,object,entity
football_kit_Blackpool,entity,entity
football_kit_Bolton_Wanderers,entity,entity
football_kit_Bristol_City,entity,entity
football_kit_Burnley,object,entity
football_kit_Cardiff,object,entity
football_kit_Chelsea,entity,entity
football_kit_Coventry,,other
football_kit_Crystal_Palace,object,entity
football_kit_Derby,object,entity
football_kit_Doncaster,entity,entity
football_kit_Everton,object,entity
football_kit_Fulham,entity,entity
football_kit_Hull_City,object,entity
football_kit_Ipswich,object,entity
football_kit_Leicester,action,action
football_kit_Liverpool,entity,entity
football_kit_Manchester_City,entity,entity
football_kit_Manchester_United,object,entity
football_kit_Middlesbrough,entity,entity
football_kit_Newcastle_United,object,entity
football_kit_Nottingham_Forest,object,entity
football_kit_Peterborough,object,entity
football_kit_Plymouth_Argyle,entity,entity
football_kit_Portsmouth,object,entity
football_kit_Preston,entity,entity
football_kit_QPR,,other
football_kit_Reading,object,entity
football_kit_Scunthorpe,entity,entity
football_kit_Sheffield_United,,other
football_kit_Sheffield_Weds,object,entity
football_kit_Spurs,object,entity
football_kit_Stoke_City,object,entity
football_kit_Sunderland,object,entity
football_kit_Swansea,object,entity
football_kit_Watford,,other
football_kit_West_Bromwich,,other
football_kit_West_Ham_United,entity,entity
football_kit_Wigan_Athletic,object,entity
football_kit_Wolves,object,entity
football_kit_blank,object,entity
forearm,body,entity
fork,object,entity
fork_adapted,object,entity
fork_lift_truck,entity,entity
forty,quantity,attribute
forward,action,action
forward_wind,action,action
forwards,action,action
four,quantity,attribute
four_dots,object,entity
fourteen,quantity,attribute
fox,entity,entity
frankincense,entity,entity
freckles,body part,entity
freezer,device,entity
french_stick,food,entity
friction,quality,attribute
fridge,object,entity
fried_breakfast,food,entity
frog,entity,entity
fromage_frais,food,entity
front,location,function
front_door,place,entity
frozen_chips,object,entity
frozen_fish_fingers,entity,entity
frozen_food_box,object,entity
frozen_pizza,food,entity
fruit,food,entity
fruit_tree,entity,entity
"fry_,_to",,other
frying_pan,object,entity
full,quality,attribute
funnel,object,entity
funny_laugh,,other
furniture,object,entity
future,time,function
fuzzy,quality,attribute
g_-_lower_case,quality,attribute
garage,place,entity
garden_chair_folding,object,entity
garden_clippers,object,entity
gardener_1a,,other
gardener_1b,person,entity
gardener_2a,,other
gardener_2b,person,entity
garlic,entity,entity
garlic_bread,food,entity
garlic_crusher,action,action
geography,topic,attribute
geography_class,entity,entity
"get_,_to",,other
"get_dressed_,_to",,other
"get_off_bus_,_to",,other
"get_on_bus_,_to",action,action
"get_out_of_chair_,_to",,other
"get_up_,_to",,other
"get_up_2_,_to",action,action
ghost,entity,entity
giraffe,entity,entity
"give_,_to",,other
"give_up_cake_,_to",,other
"give_up_foods_,_to",action,action
glass,entity,entity
"glass_,_drinking",,other
glasses,entity,entity
glitter,quality,attribute
globe,place,entity
gloves,object,entity
glue,object,entity
glue_stick,,other
gnat,entity,entity
"go_,_to",,other
"go_in_,_to",action,action
"go_out_2_,_to",action,action
"go_outside_,_to",,other
"go_through_door_,_to",,other
goal,object,entity
gold_bar,object,entity
goldfish,entity,entity
goldfish_bowl,object,entity
golf,action,action
golf_club,object,entity
good,quality,attribute
good_person,person,entity
good_to_drink,quality,attribute
good_to_eat,emotion,function
good_to_eat_2,action,action
goose,entity,entity
goose_roast,food,entity
gooseberry,food,entity
gorilla,entity,entity
"grab_,_to",,other
"grab_1_,_to",action,action
grains,,other
grandfather,person,entity
grandmother,person,entity
grandparents,entity,entity
grape_juice,food,entity
grapefruit,food,entity
grapefruit_juice,drink,entity
grapes,food,entity
graph_column,,other
grass,entity,entity
"grate_,_to",,other
grater,,other
gravity,quality,attribute
gravy_boat,object,entity
"gravy_pour_,_to",action,action
great,quality,attribute
green,quality,attribute
green_beans,food,entity
green_dark,quality,attribute
green_light,object,entity
greengrocer_1a,entity,entity
greengrocer_1b,,other
greengrocer_2a,person,entity
greengrocer_2b,entity,entity
grey_dark,entity,entity
grey_light,quality,attribute
"grill_,_to",,other
grill_pan,entity,entity
ground,location,function
group_work,action,action
"grow_,_to",,other
"grow_2_,_to",,other
"grow_hair_,_to",,other
"grow_hair_2_,_to",,other
"guess_,_to",,other
guinea_pig,entity,entity
guitar,entity,entity
gum,food,entity
guy,person,entity
gym_1,object,entity
h_-_lower_case,quality,attribute
hair_bunches,person,entity
hair_conditioner,object,entity
hair_curler,tool,entity
hair_curlers_electric,entity,entity
hair_curling_tongs,,other
hair_dye,entity,entity
hair_dye_1,object,entity
hair_plaits,entity,entity
hair_ponytail,body,entity
hairbrush,object,entity
haircut,action,action
hairdryer,object,entity
hairspray,object,entity
half,quantity,attribute
ham,food,entity
ham_packet,food,entity
hamburger,food,entity
hamburger_carton,entity,entity
hammer,object,entity
hamster,entity,entity
hamster_food,food,entity
hamster_maze,object,entity
hand_bag,object,entity
hand_cream,,other
hand_mixer,object,entity
hand_punch,object,entity
handcuffs,object,entity
handle_bars,entity,entity
handsome,quality,attribute
"hang_,_to",,other
"hang_coat_,_to",action,action
hangar,place,entity
hankerchief,object,entity
happy_lady,person,entity
happy_man,person,entity
hard,quality,attribute
hard_hat,noun,entity
hare,animal,entity
harvest,action,action
hat_-_ladies,object,entity
hat_-_mans,person,entity
hat_Christmas,entity,entity
hat_too_big,object,entity
"hatch_,_to",,other
haunted_house,entity,entity
hazelnut,entity,entity
head,body,entity
head_teacher_1a,,other
head_teacher_1b,person,entity
head_teacher_2a,person,entity
head_teacher_2b,person,entity
headache,emotion,function
headband,object,entity
headboard,object,entity
headlamp,object,entity
headmouse,entity,entity
headphones,object,entity
headpointer_2,object,entity
healthy,quality,attribute
"hear_,_to",,other
hearing_aid_1,object,entity
hearing_aid_2,object,entity
heart,emotion,function
heart_shape,object,entity
"heat_,_to",,other
heavy,quality,attribute
hedge,object,entity
hedge_cutters,object,entity
hedgehog,entity,entity
heel,body,entity
heel_of_shoe,body,entity
helicopter,entity,entity
hello,,other
helmet,entity,entity
helmet_pilot,object,entity
"help_,_to",,other
heptagon,object,entity
heron,entity,entity
hexagon,shape,attribute
high,quality,attribute
high_chair,object,entity
highest,quality,attribute
"hike_,_to",,other
"hike_2_,_to",,other
hip,body,entity
hippopotamus,entity,entity
hips,body,entity
history,action,action
history_class,action,action
"hit_,_to",,other
"hit_something_,_to",,other
hoe,body,entity
hoist,action,action
"hold_,_to",,other
"hold_hands_,_to",,other
"hold_sledge_hammer_,_to",action,action
holdall,object,entity
hole_punch,object,entity
hole_punch_2,entity,entity
hollow,object,entity
holly,entity,entity
homepage,object,entity
honey,food,entity
hood_hoodie,entity,entity
hooded_top,entity,entity
hoof,object,entity
"hoover_,_to",,other
"hop_,_to",,other
"hop_2_,_to",action,action
horns,entity,entity
horse,entity,entity
hose,object,entity
hot,quality,attribute
hot_air_balloon,entity,entity
hot_brush,object,entity
hot_chocolate,drink,entity
hot_dog,,other
hot_person,emotion,function
house,entity,entity
how,action,action
how_many,action,action
"hug_,_to",,other
hundred,quantity,attribute
hungry,emotion,function
"hunt_,_to",,other
husband,relationship,function
iPhone,object,entity
iPod,object,entity
i_-_lower_case,object,entity
ice_cream,food,entity
ice_cream_2,food,entity
ice_cream_tub,object,entity
ice_lolly,food,entity
in,place,entity
in_front,place,entity
inbox,object,entity
index_cards,entity,entity
ingredients,food,entity
inhaler,object,entity
"insert_,_to",,other
inside_out,action,action
inside_room,location,function
install_software,action,action
intellikeys,object,entity
internet,object,entity
intestine,body,entity
iron,entity,entity
"iron_,_to",,other
ironing_board,object,entity
is_this_enough,action,action
itch,emotion,function
ivy,entity,entity
ivy_2,object,entity
j_-_lower_case,entity,entity
jack_in_box,object,entity
jacket,object,entity
jacket_-_mans,object,entity
jacket_2,clothing,entity
jacket_potato_1,entity,entity
jam,food,entity
jam_tart,food,entity
jar,entity,entity
jealous_lady,entity,entity
jealous_man,emotion,function
jeans,entity,entity
jeep,object,entity
jelly,food,entity
jelly_beans,food,entity
jellyfish,entity,entity
jet_plane,object,entity
jewellery,object,entity
jigsaw_puzzle,object,entity
jigsaw_puzzle_piece,object,entity
"jog_,_to",,other
"join_,_to",,other
"join_2_,_to",action,action
join_3,action,action
joystick_PennyGiles,,other
judo,action,action
judo_belt,object,entity
"jump_,_to",,other
"jump_2_,_to",action,action
jumper,object,entity
jungle_gym,object,entity
k_-_lower_case,entity,entity
kangaroo,entity,entity
kebab,object,entity
"keep_,_to",,other
kennel,place,entity
kettle,object,entity
key_1,object,entity
key_2,entity,entity
keyboard_electric,object,entity
"kick_ball_,_to",action,action
"kick_ball_1_,_to",,other
"kick_ball_2_,_to",action,action
"kick_person_,_to",action,action
"kick_swimming_,_to",action,action
kidneys,,other
"kill_,_to",,other
killer_whale,entity,entity
kite,entity,entity
kiwi,object,entity
knee,body,entity
knickers,,other
knife,entity,entity
knife_adapted,object,entity
knife_adapted_2,object,entity
"knit_,_to",,other
"knock_,_to",,other
"knock_down_,_to",action,action
koala,entity,entity
koosh_ball,entity,entity
l_-_lower_case,entity,entity
labels,entity,entity
ladies_toilet,place,entity
ladle,object,entity
lady_-_face,person,entity
lager,object,entity
lamb,,other
lamb_2,entity,entity
lamp,object,entity
lampshade,object,entity
lampshade_2,object,entity
lantern,object,entity
lantern_2,object,entity
laptop,object,entity
large,quality,attribute
lasagne,food,entity
last,adjective,attribute
last_2,,other
last_month,,other
laughing_lady,entity,entity
laughing_man,person,entity
laundry_basket,object,entity
lava_lamp,entity,entity
lawnmower,object,entity
lead,food,entity
leaf,,other
leaves,body,entity
leek,,other
left,quality,attribute
left_click,action,action
left_hand,body part,entity
leg,body,entity
leg_warmers,entity,entity
lego,entity,entity
legs,body,entity
lemon,food,entity
lemon_squash,object,entity
lemonade,drink,entity
lemonade_2,food,entity
lens,object,entity
lentils,entity,entity
leopard,entity,entity
letter,object,entity
lettuce,food,entity
lid,entity,entity
lid_2,object,entity
"lie_on_back_,_to",,other
lift,object,entity
light,object,entity
lightbulb,object,entity
lily,entity,entity
lime,food,entity
line_diagonal,shape,attribute
line_horizontal,object,entity
line_parallel,quality,attribute
line_vertical,object,entity
lion,animal,entity
lip_balm,entity,entity
lip_bottom,body,entity
lip_top,body,entity
lips_1,body,entity
lipstick,object,entity
liquid_soap,object,entity
little,quality,attribute
little_mac_switch,object,entity
lizard,entity,entity
locker,object,entity
log,entity,entity
lollipop,food,entity
long,,other
long_hair,quality,attribute
long_johns,entity,entity
"look_,_to",,other
"look_in_mirror_,_to",action,action
lorry,entity,entity
lorry_2,entity,entity
lost,quality,attribute
lotion,food,entity
lots_more,action,action
loud,quality,attribute
low_fat_2,quality,attribute
lowest,quality,attribute
lucky,quality,attribute
lump,entity,entity
lunch_1,food,entity
lunch_2,food,entity
lunch_box,object,entity
lunch_box_1,object,entity
lunch_time,time,function
lungs,entity,entity
m_-_lower_case,character,entity
macadamias,food,entity
macaroni,object,entity
macaroni_cheese,food,entity
magnet,entity,entity
magnetic,entity,entity
main_course,food,entity
mains_socket,object,entity
"make_,_to",,other
"make_the_bed_,_to",,other
make_up,food,entity
male_body,,other
man_-_face,person,entity
mange_tout,entity,entity
manger,object,entity
mango,object,entity
marbles,object,entity
margarine,food,entity
marmite,food,entity
married,action,action
marrow,object,entity
marshmallows,food,entity
mascara,object,entity
"mash_,_to",,other
"mash_potato_,_to",action,action
mash_potato_1,food,entity
mash_potato_2,object,entity
masher,object,entity
mask_dustmask,object,entity
masking_tape,object,entity
maths,education,other
maths_class,subject,function
mauve,quality,attribute
mauve_dark,object,entity
mauve_light,quality,attribute
mayonnaise,food,entity
measuring_cups,object,entity
measuring_jug,object,entity
measuring_spoons,object,entity
meat,food,entity
meatballs_and_spaghetti,object,entity
medal,object,entity
medicine,object,entity
medicine_cabinet,object,entity
"meet_,_to",,other
melon,food,entity
"melt_,_to",,other
memory_card,entity,entity
memory_card_2,object,entity
mend,action,action
mens_toilet,place,entity
menu,object,entity
meringues,,other
merry_go_round,object,entity
messy_clothes,body,entity
messy_room,place,entity
microphone,object,entity
microscope,,other
microwave,object,entity
middle,quality,attribute
milk,food,entity
milk_2_litre,object,entity
milk_bottle,object,entity
milk_carton,entity,entity
milk_person_1a,person,entity
milk_person_1b,person,entity
milk_person_2a,,other
milk_person_2b,,other
milkshake,object,entity
milkshake_banana,food,entity
milkshake_chocolate,food,entity
milkshake_strawberry,food,entity
mince_pie,food,entity
minced_meat,food,entity
mini_bus,,other
mints,object,entity
minute,time,function
mirror,object,entity
mirror_1,quality,attribute
mirror_2,entity,entity
mirror_ball,entity,entity
"miss_bus_,_to",action,action
mistake_no_wrong,object,entity
mistletoe,object,entity
mittens,object,entity
mixer,object,entity
mobile_phone,object,entity
mobile_phone_camera,object,entity
mobile_phone_case,object,entity
mobile_phone_cover,object,entity
mobile_phone_no,emotion,function
mobile_phone_number,entity,entity
mobile_phone_ring_tone,object,entity
mobile_phone_silent,object,entity
mobile_phone_text_message,entity,entity
mobile_phone_video,object,entity
mole,person,entity
money,entity,entity
monster,entity,entity
mop,entity,entity
moped,entity,entity
more,quantity,attribute
morning,time,function
most,quality,attribute
moth,entity,entity
motor_home,entity,entity
motorcycle,entity,entity
mountains,place,entity
mouse,entity,entity
mouse_mat,object,entity
mouth,body,entity
mouthwash,,other
mouthwash_1,food,entity
"move_,_to",,other
muesli,food,entity
mug_2,object,entity
multi_media,object,entity
multiply,action,action
mum_parent,person,entity
muscles,body,entity
mushroom,entity,entity
music,action,action
music_class,entity,entity
music_room,place,entity
musical_instruments,entity,entity
musician_1a,person,entity
musician_1b,person,entity
musician_2a,person,entity
musician_2b,action,action
mussel,entity,entity
my_computer_icon,entity,entity
n_-_lower_case,entity,entity
nail,entity,entity
nail_care,body,entity
nail_clippers,entity,entity
nail_file,object,entity
nail_polish,object,entity
nail_polish_remover,object,entity
nappy,entity,entity
near,quality,attribute
neck,body,entity
necklace,object,entity
necklace_2,object,entity
need_toilet,emotion,function
neither,adverb,attribute
nest,place,entity
nest_of_tables,entity,entity
networked_computers,entity,entity
new_document,object,entity
newspaper,object,entity
newspaper_person_1a,person,entity
newspaper_person_1b,action,action
newspaper_person_2a,person,entity
newspaper_person_2b,action,action
next,action,action
next_month,time,function
next_week,time,function
night,time,function
nightgown,object,entity
nine,quantity,attribute
nine_dots,quality,attribute
nineteen,quantity,attribute
ninety,numeral,function
no_class,emotion,function
no_smoking_sign,symbol,entity
"nod_,_to",,other
noisy,action,action
non-permeable,quality,attribute
non_speaking,object,entity
noodles,food,entity
north,place,entity
north_east,location,function
north_west,place,entity
nosey_cup,object,entity
nostril,body,entity
notebook,object,entity
notepad,object,entity
now,time,function
nurse_1a,person,entity
nurse_1b,person,entity
nurse_2a,person,entity
nurse_2b,,other
nuts,food,entity
o_-_lower_case,entity,entity
oak_leaf,object,entity
occupational_therapist_1a,person,entity
occupational_therapist_1b,person,entity
occupational_therapist_2a,action,action
occupational_therapist_2b,person,entity
octagon,object,entity
off,,other
office_block,object,entity
old_object,object,entity
old_person_1,person,entity
old_person_2,,other
old_person_3,entity,entity
olive_oil,food,entity
olives,food,entity
olympic_games,entity,entity
olympic_rings,object,entity
olympic_torch,object,entity
olympic_torch_2,object,entity
omelette,food,entity
on,action,action
one,quantity,attribute
one_dot,object,entity
one_hour,quantity,attribute
one_third,quantity,attribute
onion,food,entity
onion_rings,food,entity
opaque,quality,attribute
open,action,action
"open_,_to",,other
open_2,action,action
"open_2_,_to",action,action
"open_door_,_to",,other
"open_door_1_,_to",,other
"open_door_2_,_to",,other
open_shop,action,action
"open_tin_,_to",action,action
operating_theatre,location,function
operation,action,action
opposite,adjective,attribute
orange,food,entity
orange_2,object,entity
orange_fizzy_drink,food,entity
orange_juice,drink,entity
orange_squash,entity,entity
"order_1_,_to",,other
"order_2_,_to",action,action
ostrich,entity,entity
out,verb,action
outbox,object,entity
outside,place,entity
oval,quality,attribute
over,quality,attribute
owl,entity,entity
oxygen_mask,object,entity
oyster,entity,entity
oyster_2,object,entity
ozone_layer,,other
p_-_lower_case,entity,entity
"pack_suitcase_,_to",,other
packed_lunch,content,entity
packed_lunch_2,object,entity
paddles,object,entity
paint,object,entity
"paint_,_to",,other
"paint_1_,_to",action,action
"paint_2_,_to",action,action
paint_box,entity,entity
paint_brush,object,entity
paint_brush_2,object,entity
paint_childs,action,action
palm,object,entity
palm_tree,entity,entity
pancake_2,food,entity
pancakes,food,entity
panda,entity,entity
pants,object,entity
paper,object,entity
paper_towel,object,entity
paper_towels,object,entity
paperclip,entity,entity
para_olympic_games,,other
parachute,object,entity
parade_1,time,function
parade_2,noun,entity
parallelogram,quality,attribute
paramedic_1a,person,entity
paramedic_1b,person,entity
paramedic_2a,,other
paramedic_2b,person,entity
parents,person,entity
"park_,_to",,other
parrot,entity,entity
parsnip,,other
part,,other
partner,entity,entity
party_celebration,action,action
party_popper,object,entity
passion_flower,entity,entity
passion_fruit,entity,entity
passport,object,entity
past,time,function
pasta,food,entity
pasta_sauce,food,entity
paste,object,entity
pastie,object,entity
pastry,food,entity
"pat_dog_,_to",action,action
patch_on_clothes,entity,entity
pate,food,entity
paw,body part,entity
paw_1,entity,entity
pea,food,entity
peach,food,entity
peacock,entity,entity
peanut,entity,entity
peanut_2,food,entity
peanut_butter,food,entity
pear,entity,entity
peas,food,entity
pecan,food,entity
"peel_,_to",,other
"peel_orange_,_to",,other
peeler,tool,entity
pelican,entity,entity
pen,object,entity
pen_and_paper,object,entity
pen_and_paper_2,entity,entity
pencil,,other
pencil_and_paper,content,entity
pencil_and_paper_2,entity,entity
pencil_box,object,entity
pencil_case,object,entity
pencil_sharpener,object,entity
pencil_sharpener_2,object,entity
penguin,entity,entity
penis,,other
pentagon,shape,attribute
pepper,food,entity
pepper_mill,action,action
percent,quality,attribute
perfume,object,entity
"perm_,_to",,other
permeable,quality,attribute
personal_passport,object,entity
pestle_and_mortar,object,entity
pet_blanket,object,entity
pet_brush,object,entity
pet_carrier,,other
pet_carrying_basket,object,entity
pet_comb,action,action
petal,entity,entity
petrol_tanker,entity,entity
petticoat,entity,entity
phone_picture_video,object,entity
photocopier,tool,entity
photographs,object,entity
